Field,StrategyOrDate,SHORT_ONLY,Value
AggReturn,2019-03-01 00:00:00,False,0.0043475875663263
AggReturn,2019-03-04 00:00:00,True,-0.0113824189607763
AggReturn,2019-03-04 00:00:00,False,-0.0058575552780792
AggReturn,2019-03-05 00:00:00,True,-0.0003392570939726
AggReturn,2019-03-05 00:00:00,False,-0.0018143393629407
AggReturn,2019-03-06 00:00:00,True,0.0144598414761138
AggReturn,2019-03-06 00:00:00,False,0.0099118372393813
AggReturn,2019-03-07 00:00:00,True,0.0149107106703131
AggReturn,2019-03-07 00:00:00,False,0.0046000246003335
AggReturn,2019-03-08 00:00:00,True,-0.2891784383990238
AggReturn,2019-03-08 00:00:00,False,-0.1655203405834259
AggReturn,2019-03-11 00:00:00,True,-0.0407421314182727
AggReturn,2019-03-11 00:00:00,False,-0.0210256536119771
AggReturn,2019-03-12 00:00:00,True,0.079475341846182
AggReturn,2019-03-12 00:00:00,False,0.0481776278691957
AggReturn,2019-03-13 00:00:00,True,0.0570837011350336
AggReturn,2019-03-13 00:00:00,False,0.03216192682473
AggReturn,2019-03-14 00:00:00,True,0.0001620775110738
AggReturn,2019-03-14 00:00:00,False,0.0002398231041512
AggReturn,2019-03-15 00:00:00,True,0.0027551132930223
AggReturn,2019-03-15 00:00:00,False,0.0044618210433253
AggReturn,2019-03-18 00:00:00,True,0.0875448652289759
AggReturn,2019-03-18 00:00:00,False,0.0529639409756151
AggReturn,2019-03-19 00:00:00,True,0.0463148042846771
AggReturn,2019-03-19 00:00:00,False,0.0273572703902045
AggReturn,2019-03-20 00:00:00,True,-0.0068740904124746
AggReturn,2019-03-20 00:00:00,False,-0.0017005627122825
AggReturn,2019-03-21 00:00:00,True,-0.0092378277822161
AggReturn,2019-03-21 00:00:00,False,-0.0116135273907191
AggReturn,2019-03-22 00:00:00,True,0.0069466633944025
AggReturn,2019-03-22 00:00:00,False,0.0115521100303621
AggReturn,2019-03-25 00:00:00,True,0.0426797332298695
AggReturn,2019-03-25 00:00:00,False,0.0186106631434196
AggReturn,2019-03-26 00:00:00,True,-0.0101413514945937
AggReturn,2019-03-26 00:00:00,False,-0.0030037538874872
AggReturn,2019-03-27 00:00:00,True,0.034808110487901
AggReturn,2019-03-27 00:00:00,False,0.0240476766683091
AggReturn,2019-03-28 00:00:00,True,0.0456111300813076
AggReturn,2019-03-28 00:00:00,False,0.0269434112364407
AggReturn,2019-03-29 00:00:00,True,0.0305743986525466
AggReturn,2019-03-29 00:00:00,False,0.0193085680183906
AggReturn,2019-04-01 00:00:00,True,0.0016269118400976
AggReturn,2019-04-01 00:00:00,False,0.0091672440111401
AggReturn,2019-04-02 00:00:00,True,-0.0192937300723176
AggReturn,2019-04-02 00:00:00,False,-0.0116081537028179
AggReturn,2019-04-03 00:00:00,True,0.0288897764403999
AggReturn,2019-04-03 00:00:00,False,0.0206677579867003
AggReturn,2019-04-04 00:00:00,True,0.0225610364176077
AggReturn,2019-04-04 00:00:00,False,0.0119613414346568
AggReturn,2019-04-05 00:00:00,True,0.0129126949518419
AggReturn,2019-04-05 00:00:00,False,0.0078725259770061
AggReturn,2019-04-08 00:00:00,True,-0.0129147940548755
AggReturn,2019-04-08 00:00:00,False,-0.0063499888370961
AggReturn,2019-04-09 00:00:00,True,0.0319293478260869
AggReturn,2019-04-09 00:00:00,False,0.0210440733430493
AggReturn,2019-04-10 00:00:00,True,-0.2116399342781643
AggReturn,2019-04-10 00:00:00,False,-0.115663971545976
AggReturn,2019-04-11 00:00:00,True,0.1081927237778387
AggReturn,2019-04-11 00:00:00,False,0.0611232546502707
AggReturn,2019-04-12 00:00:00,True,0.0371949670740327
AggReturn,2019-04-12 00:00:00,False,0.0236651032744485
AggReturn,2019-04-15 00:00:00,True,-0.0215605106422016
AggReturn,2019-04-15 00:00:00,False,-0.0161726410101692
AggReturn,2019-04-16 00:00:00,True,0.0580159421213806
AggReturn,2019-04-16 00:00:00,False,0.0342118873987922
AggReturn,2019-04-17 00:00:00,True,0.0194744712796482
