Field,StrategyOrDate,TOP_N_COUNT,Value
AggReturn,2019-01-29 00:00:00,2,0.014912775596145
AggReturn,2019-01-29 00:00:00,4,0.0325084138796442
AggReturn,2019-01-29 00:00:00,6,0.0227175354870604
AggReturn,2019-01-29 00:00:00,8,0.0135341474123425
AggReturn,2019-01-30 00:00:00,2,0.0144535273924987
AggReturn,2019-01-30 00:00:00,4,0.0145866715678041
AggReturn,2019-01-30 00:00:00,6,0.0104479722547694
AggReturn,2019-01-30 00:00:00,8,0.0093271033468143
AggReturn,2019-01-31 00:00:00,2,-0.0509247251560888
AggReturn,2019-01-31 00:00:00,4,-0.0123051852977609
AggReturn,2019-01-31 00:00:00,6,-0.0124198894154181
AggReturn,2019-01-31 00:00:00,8,-0.0027469449381416
AggReturn,2019-02-01 00:00:00,2,-0.0166038334730362
AggReturn,2019-02-01 00:00:00,4,0.0014877486401792
AggReturn,2019-02-01 00:00:00,6,0.0056647851790121
AggReturn,2019-02-01 00:00:00,8,0.0047098403597222
AggReturn,2019-02-04 00:00:00,2,-0.053902076691457
AggReturn,2019-02-04 00:00:00,4,-0.0341761941140503
AggReturn,2019-02-04 00:00:00,6,-0.0346461313968696
AggReturn,2019-02-04 00:00:00,8,-0.0277928062958314
AggReturn,2019-02-05 00:00:00,2,-0.0150758812171756
AggReturn,2019-02-05 00:00:00,4,0.0084666641573874
AggReturn,2019-02-05 00:00:00,6,0.0125719375226692
AggReturn,2019-02-05 00:00:00,8,0.0143716402765724
AggReturn,2019-02-06 00:00:00,2,-0.0499517808328159
AggReturn,2019-02-06 00:00:00,4,-0.0180600390966523
AggReturn,2019-02-06 00:00:00,6,-0.0072187499720808
AggReturn,2019-02-06 00:00:00,8,0.0036155393498619
AggReturn,2019-02-07 00:00:00,2,0.0575866382363174
AggReturn,2019-02-07 00:00:00,4,0.0349520216761516
AggReturn,2019-02-07 00:00:00,6,0.0414626067279425
AggReturn,2019-02-07 00:00:00,8,0.0489413549635911
AggReturn,2019-02-08 00:00:00,2,-0.0009960870122461
AggReturn,2019-02-08 00:00:00,4,0.0268592631655991
AggReturn,2019-02-08 00:00:00,6,0.0179189847659061
AggReturn,2019-02-08 00:00:00,8,0.0418044185655504
AggReturn,2019-02-11 00:00:00,2,-0.040495101094087
AggReturn,2019-02-11 00:00:00,4,0.034284612204757
AggReturn,2019-02-11 00:00:00,6,0.0284956141375658
AggReturn,2019-02-11 00:00:00,8,0.0246815321868824
AggReturn,2019-02-12 00:00:00,2,-0.0240345274838905
AggReturn,2019-02-12 00:00:00,4,0.0031303231586071
AggReturn,2019-02-12 00:00:00,6,0.0041361972399049
AggReturn,2019-02-12 00:00:00,8,0.0119775482135565
AggReturn,2019-02-13 00:00:00,2,-0.0267099911269306
AggReturn,2019-02-13 00:00:00,4,-0.0013529850742035
AggReturn,2019-02-13 00:00:00,6,0.003324408427015
AggReturn,2019-02-13 00:00:00,8,-0.0030341511641861
AggReturn,2019-02-14 00:00:00,2,-0.0787456458635155
AggReturn,2019-02-14 00:00:00,4,-0.0055371285991088
AggReturn,2019-02-14 00:00:00,6,-0.015454042058251
AggReturn,2019-02-14 00:00:00,8,-0.0090729782766808
AggReturn,2019-02-15 00:00:00,2,0.0504503204585928
AggReturn,2019-02-15 00:00:00,4,0.029415730637053
AggReturn,2019-02-15 00:00:00,6,0.0208353595574334
AggReturn,2019-02-15 00:00:00,8,0.0231335133101805
AggReturn,2019-02-19 00:00:00,2,-0.0291498683872675
AggReturn,2019-02-19 00:00:00,4,-0.0723988051083132
AggReturn,2019-02-19 00:00:00,6,-0.0427157367078244
AggReturn,2019-02-19 00:00:00,8,-0.0306828288779468
AggReturn,2019-02-20 00:00:00,2,0.0624066398465542
AggReturn,2019-02-20 00:00:00,4,-0.0048847170362787
AggReturn,2019-02-20 00:00:00,6,-0.0091708476434241
AggReturn,2019-02-20 00:00:00,8,-0.0130251872765356
AggReturn,2019-02-21 00:00:00,2,-0.0298053124362347
AggReturn,2019-02-21 00:00:00,4,0.0344459377274504
AggReturn,2019-02-21 00:00:00,6,0.025317847791611
AggReturn,2019-02-21 00:00:00,8,0.0185036426714673
AggReturn,2019-02-22 00:00:00,2,0.0037554154234973
AggReturn,2019-02-22 00:00:00,4,0.0261995518885573
AggReturn,2019-02-22 00:00:00,6,0.0272898593018097
AggReturn,2019-02-22 00:00:00,8,0.0191433475606542
AggReturn,2019-02-25 00:00:00,2,-0.0126267915561976
AggReturn,2019-02-25 00:00:00,4,0.0141179217886979
AggReturn,2019-02-25 00:00:00,6,0.0138649692689386
AggReturn,2019-02-25 00:00:00,8,0.0137044689515235
AggReturn,2019-02-26 00:00:00,2,0.0174214851650205
AggReturn,2019-02-26 00:00:00,4,-0.0225801527969271
