Field,StrategyOrDate,EWM_COM,Value
AggReturn,2020-07-28 00:00:00,2,0.0285224090907059
AggReturn,2020-07-28 00:00:00,4,0.0204245849674434
AggReturn,2020-07-28 00:00:00,8,0.0323205949951692
AggReturn,2020-07-29 00:00:00,None,0.0120347225475988
AggReturn,2020-07-29 00:00:00,2,0.0194411903389632
AggReturn,2020-07-29 00:00:00,4,0.018220406842623
AggReturn,2020-07-29 00:00:00,8,0.0057579280502248
AggReturn,2020-07-30 00:00:00,None,0.0256752083015875
AggReturn,2020-07-30 00:00:00,2,0.0195630637370603
AggReturn,2020-07-30 00:00:00,4,0.025838871222572
AggReturn,2020-07-30 00:00:00,8,0.0182171236603418
AggReturn,2020-07-31 00:00:00,None,0.0227642317091251
AggReturn,2020-07-31 00:00:00,2,0.0379143149530055
AggReturn,2020-07-31 00:00:00,4,0.0467041884570971
AggReturn,2020-07-31 00:00:00,8,0.0112463767220425
AggReturn,2020-08-03 00:00:00,None,-0.0089036657784414
AggReturn,2020-08-03 00:00:00,2,-0.0148151679767821
AggReturn,2020-08-03 00:00:00,4,-0.0095425647327314
AggReturn,2020-08-03 00:00:00,8,0.0054256588408375
AggReturn,2020-08-04 00:00:00,None,0.0513688753057985
AggReturn,2020-08-04 00:00:00,2,0.0404178524348446
AggReturn,2020-08-04 00:00:00,4,0.0458403261004566
AggReturn,2020-08-04 00:00:00,8,0.0458403261004566
AggReturn,2020-08-05 00:00:00,None,-0.0390368215360752
AggReturn,2020-08-05 00:00:00,2,-0.0208834027336245
AggReturn,2020-08-05 00:00:00,4,-0.0284855333869578
AggReturn,2020-08-05 00:00:00,8,-0.0284855333869578
AggReturn,2020-08-06 00:00:00,None,-0.0158465741957358
AggReturn,2020-08-06 00:00:00,2,-0.0144191296612361
AggReturn,2020-08-06 00:00:00,4,-0.0130280249349701
AggReturn,2020-08-06 00:00:00,8,-0.0130280249349701
AggReturn,2020-08-07 00:00:00,None,-0.0326764226450046
AggReturn,2020-08-07 00:00:00,2,-0.0397799408294968
AggReturn,2020-08-07 00:00:00,4,-0.0471010845985226
AggReturn,2020-08-07 00:00:00,8,-0.0471010845985226
AggReturn,2020-08-10 00:00:00,None,0.0108071990355894
AggReturn,2020-08-10 00:00:00,2,0.0155947887278756
AggReturn,2020-08-10 00:00:00,4,0.0255336310695298
AggReturn,2020-08-10 00:00:00,8,0.0255336310695298
AggReturn,2020-08-11 00:00:00,None,-0.0182340624479172
AggReturn,2020-08-11 00:00:00,2,-0.0166276685681074
AggReturn,2020-08-11 00:00:00,4,-0.0113745518659402
AggReturn,2020-08-11 00:00:00,8,-0.0113745518659402
AggReturn,2020-08-12 00:00:00,None,-0.0084822780209332
AggReturn,2020-08-12 00:00:00,2,0.0107060267073194
AggReturn,2020-08-12 00:00:00,4,0.0095017207255504
AggReturn,2020-08-12 00:00:00,8,0.0095017207255504
AggReturn,2020-08-13 00:00:00,None,-0.0054878093441017
AggReturn,2020-08-13 00:00:00,2,4.886823148535224e-05
AggReturn,2020-08-13 00:00:00,4,-0.0041997075878346
AggReturn,2020-08-13 00:00:00,8,-0.0041997075878346
AggReturn,2020-08-14 00:00:00,None,0.0019353986641935
AggReturn,2020-08-14 00:00:00,2,0.0045953677066939
AggReturn,2020-08-14 00:00:00,4,0.003905869201598
AggReturn,2020-08-14 00:00:00,8,0.003905869201598
AggReturn,2020-08-17 00:00:00,None,-0.015041550511044
AggReturn,2020-08-17 00:00:00,2,-0.0193839052452072
AggReturn,2020-08-17 00:00:00,4,-0.0202787615406788
AggReturn,2020-08-17 00:00:00,8,-0.0202787615406788
AggReturn,2020-08-18 00:00:00,None,0.0121142394423453
AggReturn,2020-08-18 00:00:00,2,0.0182212179231204
AggReturn,2020-08-18 00:00:00,4,0.0175025967351872
AggReturn,2020-08-18 00:00:00,8,0.0175025967351872
AggReturn,2020-08-19 00:00:00,None,-0.0975658726069808
AggReturn,2020-08-19 00:00:00,2,-0.0966873950533025
AggReturn,2020-08-19 00:00:00,4,-0.107809754717639
AggReturn,2020-08-19 00:00:00,8,-0.107809754717639
AggReturn,2020-08-20 00:00:00,None,0.0194822058839278
AggReturn,2020-08-20 00:00:00,2,0.0069597456513051
AggReturn,2020-08-20 00:00:00,4,0.0027256275969712
AggReturn,2020-08-20 00:00:00,8,0.0027256275969712
AggReturn,2020-08-21 00:00:00,None,0.0252258303395551
AggReturn,2020-08-21 00:00:00,2,0.0231195000510817
AggReturn,2020-08-21 00:00:00,4,0.0288064587830642
AggReturn,2020-08-21 00:00:00,8,0.0288064587830642
AggReturn,2020-08-24 00:00:00,None,-0.0065179656988024
AggReturn,2020-08-24 00:00:00,2,-0.0190549464108641
AggReturn,2020-08-24 00:00:00,4,-0.020093259952955
AggReturn,2020-08-24 00:00:00,8,-0.020093259952955
AggReturn,2020-08-25 00:00:00,None,-0.0142995672991114
AggReturn,2020-08-25 00:00:00,2,-0.0099105917896761
AggReturn,2020-08-25 00:00:00,4,-0.0092838356238899
AggReturn,2020-08-25 00:00:00,8,-0.0092838356238899
AggReturn,2020-08-26 00:00:00,None,-0.0009816164503853
AggReturn,2020-08-26 00:00:00,2,-0.0064168680456425
AggReturn,2020-08-26 00:00:00,4,-0.0070075009080224
AggReturn,2020-08-26 00:00:00,8,-0.0070075009080224
AggReturn,2020-08-27 00:00:00,None,0.0085073205201326
AggReturn,2020-08-27 00:00:00,2,2.305228484922317e-05
AggReturn,2020-08-27 00:00:00,4,-0.0007049740036975
AggReturn,2020-08-27 00:00:00,8,-0.0007049740036975
AggReturn,2020-08-28 00:00:00,None,-0.0129585798859641
AggReturn,2020-08-28 00:00:00,2,-0.004673119587699
AggReturn,2020-08-28 00:00:00,4,-0.0003965586770449
AggReturn,2020-08-28 00:00:00,8,-0.0003965586770449
AggReturn,2020-08-31 00:00:00,None,-0.0049946139217907
AggReturn,2020-08-31 00:00:00,2,-0.0016082709972644
AggReturn,2020-08-31 00:00:00,4,-0.0031022465000342
AggReturn,2020-08-31 00:00:00,8,-0.0031022465000342
AggReturn,2020-09-01 00:00:00,None,0.0294783403307777
AggReturn,2020-09-01 00:00:00,2,0.0182355685076145
AggReturn,2020-09-01 00:00:00,4,0.0193136448908213
AggReturn,2020-09-01 00:00:00,8,0.0193136448908213
AggReturn,2020-09-02 00:00:00,None,0.0281982095689871
AggReturn,2020-09-02 00:00:00,2,0.0118284976375975
AggReturn,2020-09-02 00:00:00,4,0.0124894136871353
AggReturn,2020-09-02 00:00:00,8,0.0124894136871353
AggReturn,2020-09-03 00:00:00,None,-0.0026222571943681
AggReturn,2020-09-03 00:00:00,2,0.0256276501965422
AggReturn,2020-09-03 00:00:00,4,0.0145016593936821
AggReturn,2020-09-03 00:00:00,8,0.0145016593936821
AggReturn,2020-09-04 00:00:00,None,0.010844663674334
AggReturn,2020-09-04 00:00:00,2,0.0151080319868251
AggReturn,2020-09-04 00:00:00,4,-0.0019567221579775
AggReturn,2020-09-04 00:00:00,8,-0.0019567221579775
AggReturn,2020-09-08 00:00:00,None,0.0036353625406401
AggReturn,2020-09-08 00:00:00,2,-0.0133265502032357
AggReturn,2020-09-08 00:00:00,4,-0.0247172469570451
AggReturn,2020-09-08 00:00:00,8,-0.0247172469570451
AggReturn,2020-09-09 00:00:00,None,-0.0026574724743974
AggReturn,2020-09-09 00:00:00,2,0.0096914720202725
AggReturn,2020-09-09 00:00:00,4,0.0169292867550248
AggReturn,2020-09-09 00:00:00,8,0.0169292867550248
AggReturn,2020-09-10 00:00:00,None,-0.0149824605359787
AggReturn,2020-09-10 00:00:00,2,0.0064063586059899
AggReturn,2020-09-10 00:00:00,4,0.0072904898506247
AggReturn,2020-09-10 00:00:00,8,0.0072904898506247
AggReturn,2020-09-11 00:00:00,None,-0.0213271550669736
AggReturn,2020-09-11 00:00:00,2,-0.0056245550344524
AggReturn,2020-09-11 00:00:00,4,-0.0081778957687788
AggReturn,2020-09-11 00:00:00,8,-0.0081778957687788
AggReturn,2020-09-14 00:00:00,None,-0.0015317475689137
AggReturn,2020-09-14 00:00:00,2,0.0100204847484886
AggReturn,2020-09-14 00:00:00,4,0.0125314241244482
AggReturn,2020-09-14 00:00:00,8,0.0125314241244482
AggReturn,2020-09-15 00:00:00,None,0.0079583908556437
AggReturn,2020-09-15 00:00:00,2,-0.016129275544939
AggReturn,2020-09-15 00:00:00,4,-0.0110660440481976
AggReturn,2020-09-15 00:00:00,8,-0.0110660440481976
AggReturn,2020-09-16 00:00:00,None,-0.0155102036053193
AggReturn,2020-09-16 00:00:00,2,0.0246365796232214
AggReturn,2020-09-16 00:00:00,4,0.0137439352417901
AggReturn,2020-09-16 00:00:00,8,0.0137439352417901
AggReturn,2020-09-17 00:00:00,None,-0.0056272895775442
AggReturn,2020-09-17 00:00:00,2,-0.0052974120307276
AggReturn,2020-09-17 00:00:00,4,-0.0072633276646341
AggReturn,2020-09-17 00:00:00,8,-0.0072633276646341
AggReturn,2020-09-18 00:00:00,None,-0.0041893724682867
AggReturn,2020-09-18 00:00:00,2,-0.0078008721168881
AggReturn,2020-09-18 00:00:00,4,-0.0040412755332559
AggReturn,2020-09-18 00:00:00,8,-0.0040412755332559
AggReturn,2020-09-21 00:00:00,None,-0.0250247680921754
AggReturn,2020-09-21 00:00:00,2,-0.0049360470615759
AggReturn,2020-09-21 00:00:00,4,-0.0110318445954163
AggReturn,2020-09-21 00:00:00,8,-0.0110318445954163
AggReturn,2020-09-22 00:00:00,None,0.0053604769593704
AggReturn,2020-09-22 00:00:00,2,-0.0016478544306677
AggReturn,2020-09-22 00:00:00,4,0.003665945147786
AggReturn,2020-09-22 00:00:00,8,0.003665945147786
AggReturn,2020-09-23 00:00:00,None,0.0212706319495033
AggReturn,2020-09-23 00:00:00,2,0.0091943936683412
AggReturn,2020-09-23 00:00:00,4,0.0146355896092732
AggReturn,2020-09-23 00:00:00,8,0.0146355896092732
AggReturn,2020-09-24 00:00:00,None,0.011273103777234
AggReturn,2020-09-24 00:00:00,2,0.0384793193584204
AggReturn,2020-09-24 00:00:00,4,0.0159358463564159
AggReturn,2020-09-24 00:00:00,8,0.0159358463564159
AggReturn,2020-09-25 00:00:00,None,-0.0068978302463492
AggReturn,2020-09-25 00:00:00,2,0.000167636855949
AggReturn,2020-09-25 00:00:00,4,0.0058485460038055
AggReturn,2020-09-25 00:00:00,8,0.0058485460038055
AggReturn,2020-09-28 00:00:00,None,0.0160912787323009
AggReturn,2020-09-28 00:00:00,2,-0.0241831733090164
AggReturn,2020-09-28 00:00:00,4,-0.0082856728727063
AggReturn,2020-09-28 00:00:00,8,-0.0082856728727063
AggReturn,2020-09-29 00:00:00,None,-0.000464110709296
AggReturn,2020-09-29 00:00:00,2,-0.0182953593582176
AggReturn,2020-09-29 00:00:00,4,-0.0116163762618651
AggReturn,2020-09-29 00:00:00,8,-0.0116163762618651
AggReturn,2020-09-30 00:00:00,None,0.0042655213769914
AggReturn,2020-09-30 00:00:00,2,-0.0216872508410698
AggReturn,2020-09-30 00:00:00,4,-0.0182203864682075
AggReturn,2020-09-30 00:00:00,8,-0.0182203864682075
AggReturn,2020-10-01 00:00:00,None,-0.0014575052630224
AggReturn,2020-10-01 00:00:00,2,0.0093331213470978
AggReturn,2020-10-01 00:00:00,4,0.011041682678312
AggReturn,2020-10-01 00:00:00,8,0.0110402273696372
AggReturn,2020-10-02 00:00:00,None,-0.0258195068012961
AggReturn,2020-10-02 00:00:00,2,-0.0129502178409251
AggReturn,2020-10-02 00:00:00,4,-0.0129502178409251
AggReturn,2020-10-02 00:00:00,8,-0.0096303319211875
AggReturn,2020-10-05 00:00:00,None,-0.0205191281023206
AggReturn,2020-10-05 00:00:00,2,-0.0124996745827631
AggReturn,2020-10-05 00:00:00,4,-0.0124996745827631
AggReturn,2020-10-05 00:00:00,8,-0.0205905300613446
AggReturn,2020-10-06 00:00:00,None,-0.002336365732956
AggReturn,2020-10-06 00:00:00,2,-0.0099874841677177
AggReturn,2020-10-06 00:00:00,4,-0.0099874841677177
AggReturn,2020-10-06 00:00:00,8,-0.0109115125348304
AggReturn,2020-10-07 00:00:00,None,0.0145135938153271
AggReturn,2020-10-07 00:00:00,2,0.0127630234374023
AggReturn,2020-10-07 00:00:00,4,0.0127630234374023
AggReturn,2020-10-07 00:00:00,8,0.0122128392155488
AggReturn,2020-10-08 00:00:00,None,0.0266888732252412
AggReturn,2020-10-08 00:00:00,2,-0.0188212732281585
AggReturn,2020-10-08 00:00:00,4,-0.0188212732281585
AggReturn,2020-10-08 00:00:00,8,-0.0239645432148202
AggReturn,2020-10-09 00:00:00,None,0.0095197214448149
AggReturn,2020-10-09 00:00:00,2,0.0492299685152639
AggReturn,2020-10-09 00:00:00,4,0.0492299685152639
AggReturn,2020-10-09 00:00:00,8,0.0574919026222192
AggReturn,2020-10-12 00:00:00,None,0.0174628962212368
AggReturn,2020-10-12 00:00:00,2,0.0044518194872088
AggReturn,2020-10-12 00:00:00,4,0.0044518194872088
AggReturn,2020-10-12 00:00:00,8,0.0047135230416189
AggReturn,2020-10-13 00:00:00,None,0.002854923230303
AggReturn,2020-10-13 00:00:00,2,0.0167060039213475
AggReturn,2020-10-13 00:00:00,4,0.0167060039213475
AggReturn,2020-10-13 00:00:00,8,0.0206391489533471
AggReturn,2020-10-14 00:00:00,None,-0.0009015487082764
AggReturn,2020-10-14 00:00:00,2,0.0083285180011735
AggReturn,2020-10-14 00:00:00,4,0.0083285180011735
AggReturn,2020-10-14 00:00:00,8,0.0034933631022199
AggReturn,2020-10-15 00:00:00,None,-0.0066184164036978
AggReturn,2020-10-15 00:00:00,2,0.0039200652956656
AggReturn,2020-10-15 00:00:00,4,0.0039200652956656
AggReturn,2020-10-15 00:00:00,8,0.0075830498833919
AggReturn,2020-10-16 00:00:00,None,0.0310646060719267
AggReturn,2020-10-16 00:00:00,2,0.0226592108675053
AggReturn,2020-10-16 00:00:00,4,0.0226592108675053
AggReturn,2020-10-16 00:00:00,8,0.020983334982218
AggReturn,2020-10-19 00:00:00,None,0.0235984253134921
AggReturn,2020-10-19 00:00:00,2,0.0168785165472084
AggReturn,2020-10-19 00:00:00,4,0.0168785165472084
AggReturn,2020-10-19 00:00:00,8,0.0201710127168947
AggReturn,2020-10-20 00:00:00,None,0.0189421188926127
AggReturn,2020-10-20 00:00:00,2,0.0221260052365746
AggReturn,2020-10-20 00:00:00,4,0.0221260052365746
AggReturn,2020-10-20 00:00:00,8,0.0258136727760038
AggReturn,2020-10-21 00:00:00,None,0.0077464625015072
AggReturn,2020-10-21 00:00:00,2,0.014878616757379
AggReturn,2020-10-21 00:00:00,4,0.014878616757379
AggReturn,2020-10-21 00:00:00,8,0.0174723886952569
AggReturn,2020-10-22 00:00:00,None,-0.0029220611173795
AggReturn,2020-10-22 00:00:00,2,-0.0099292134317478
AggReturn,2020-10-22 00:00:00,4,-0.0099292134317478
AggReturn,2020-10-22 00:00:00,8,-0.0051521735220876
AggReturn,2020-10-23 00:00:00,None,0.0022954264009642
