Field,StrategyOrDate,SHORT_ONLY,LONG_ONLY,Value
Cagr,momentum-score,False,False,0.539412896394408
Cagr,momentum-score,False,True,0.06824989697891204
Cagr,momentum-score,True,False,0.7498878218947529
Cagr,momentum-score,True,True,0.06824989697891204
Sharpe,momentum-score,False,False,1.3371048361988076
Sharpe,momentum-score,False,True,0.37630084380782564
Sharpe,momentum-score,True,False,1.159260453274701
Sharpe,momentum-score,True,True,0.37630084380782564
MaxDrawdown,momentum-score,False,False,-0.3514214247260089
MaxDrawdown,momentum-score,False,True,-0.44849941296164986
MaxDrawdown,momentum-score,True,False,-0.5916354294969159
MaxDrawdown,momentum-score,True,True,-0.44849941296164986
AbsExposure,momentum-score,False,False,0.9931102362204725
AbsExposure,momentum-score,False,True,0.9133858267716536
AbsExposure,momentum-score,True,False,0.9124015748031497
AbsExposure,momentum-score,True,True,0.9133858267716536
NormalizedCagr,momentum-score,False,False,0.543155106775737
NormalizedCagr,momentum-score,False,True,0.07472186996829162
NormalizedCagr,momentum-score,True,False,0.8218835243204626
NormalizedCagr,momentum-score,True,True,0.07472186996829162
TotalHoldings,momentum-score,False,False,4.844488188976378
TotalHoldings,momentum-score,False,True,2.5039370078740157
TotalHoldings,momentum-score,True,False,2.340551181102362
TotalHoldings,momentum-score,True,True,2.5039370078740157
AggReturn,2019-01-02 00:00:00,False,False,-0.0104666164495534
AggReturn,2019-01-02 00:00:00,False,True,-0.0278077391406886
AggReturn,2019-01-02 00:00:00,True,False,-0.001796422360256
AggReturn,2019-01-02 00:00:00,True,True,-0.0278077391406886
AggReturn,2019-01-03 00:00:00,False,False,-0.0140454502626554
AggReturn,2019-01-03 00:00:00,False,True,0.0100379821711185
AggReturn,2019-01-03 00:00:00,True,False,-0.0381288826964294
AggReturn,2019-01-03 00:00:00,True,True,0.0100379821711185
AggReturn,2019-01-04 00:00:00,False,False,-0.0313390599027452
AggReturn,2019-01-04 00:00:00,False,True,0.0101951889652928
AggReturn,2019-01-04 00:00:00,True,False,-0.0728733087707833
AggReturn,2019-01-04 00:00:00,True,True,0.0101951889652928
AggReturn,2019-01-07 00:00:00,False,False,-0.0007541919861002
