Field,StrategyOrDate,EWM_COM,Value
AggReturn,2019-01-29 00:00:00,None,-0.0071534153137343
AggReturn,2019-01-29 00:00:00,2,-0.0152897459119675
AggReturn,2019-01-29 00:00:00,4,-0.0201857306124111
AggReturn,2019-01-29 00:00:00,8,-0.0201857306124111
AggReturn,2019-01-30 00:00:00,None,0.0042684169134143
AggReturn,2019-01-30 00:00:00,2,0.0042474275750296
AggReturn,2019-01-30 00:00:00,4,-0.0032945767901434
AggReturn,2019-01-30 00:00:00,8,-0.0032945767901434
AggReturn,2019-01-31 00:00:00,None,0.0062390475890034
AggReturn,2019-01-31 00:00:00,2,8.552889537472019e-05
AggReturn,2019-01-31 00:00:00,4,0.0163832734370055
AggReturn,2019-01-31 00:00:00,8,0.0163832734370055
AggReturn,2019-02-01 00:00:00,None,0.0057564485388309
AggReturn,2019-02-01 00:00:00,2,0.0080623031260322
AggReturn,2019-02-01 00:00:00,4,0.0070045357538024
AggReturn,2019-02-01 00:00:00,8,0.0070051171683303
AggReturn,2019-02-04 00:00:00,None,-0.0194596108215171
AggReturn,2019-02-04 00:00:00,2,-0.0589167407051458
AggReturn,2019-02-04 00:00:00,4,-0.0427332669120888
AggReturn,2019-02-04 00:00:00,8,-0.0214844059219095
AggReturn,2019-02-05 00:00:00,None,0.016385750864048
AggReturn,2019-02-05 00:00:00,2,0.0038509772610882
AggReturn,2019-02-05 00:00:00,4,0.0082108898613967
AggReturn,2019-02-05 00:00:00,8,0.0071425137930206
AggReturn,2019-02-06 00:00:00,None,-0.0028042526254118
AggReturn,2019-02-06 00:00:00,2,-0.0274393600227564
AggReturn,2019-02-06 00:00:00,4,-0.0219577456296828
AggReturn,2019-02-06 00:00:00,8,0.001309393252179
AggReturn,2019-02-07 00:00:00,None,0.0198736814036658
AggReturn,2019-02-07 00:00:00,2,-0.0154457917274073
AggReturn,2019-02-07 00:00:00,4,-0.0092048642442063
AggReturn,2019-02-07 00:00:00,8,0.0100036168029711
AggReturn,2019-02-08 00:00:00,None,0.0330059826059282
AggReturn,2019-02-08 00:00:00,2,0.0228400413033084
AggReturn,2019-02-08 00:00:00,4,0.0186743966923647
AggReturn,2019-02-08 00:00:00,8,0.0216155731629529
AggReturn,2019-02-11 00:00:00,None,0.0573578653183727
AggReturn,2019-02-11 00:00:00,2,0.0660595229342564
AggReturn,2019-02-11 00:00:00,4,0.0476820404698712
AggReturn,2019-02-11 00:00:00,8,0.03590841339452
AggReturn,2019-02-12 00:00:00,None,0.0144706122913831
AggReturn,2019-02-12 00:00:00,2,0.0304467617673135
AggReturn,2019-02-12 00:00:00,4,0.0238290525296169
AggReturn,2019-02-12 00:00:00,8,0.0197552447174913
AggReturn,2019-02-13 00:00:00,None,0.0085462042199503
AggReturn,2019-02-13 00:00:00,2,-0.0067948958810942
AggReturn,2019-02-13 00:00:00,4,-0.0038267591732755
AggReturn,2019-02-13 00:00:00,8,0.0086893283428119
AggReturn,2019-02-14 00:00:00,None,0.024323023785274
AggReturn,2019-02-14 00:00:00,2,0.0440855132879396
AggReturn,2019-02-14 00:00:00,4,0.0315862765423917
AggReturn,2019-02-14 00:00:00,8,0.0206487765423917
AggReturn,2019-02-15 00:00:00,None,0.0146284924981478
AggReturn,2019-02-15 00:00:00,2,-0.0094128860053614
AggReturn,2019-02-15 00:00:00,4,-0.0067012017880681
AggReturn,2019-02-15 00:00:00,8,0.0016443228827657
AggReturn,2019-02-19 00:00:00,None,-0.0750406118007991
AggReturn,2019-02-19 00:00:00,2,-0.0679543175239533
AggReturn,2019-02-19 00:00:00,4,-0.0506777325497119
AggReturn,2019-02-19 00:00:00,8,-0.0538322136817874
AggReturn,2019-02-20 00:00:00,None,-0.0293912843259398
AggReturn,2019-02-20 00:00:00,2,-0.0028032279570631
AggReturn,2019-02-20 00:00:00,4,-2.6096634879235747e-05
AggReturn,2019-02-20 00:00:00,8,-0.0015693065114224
AggReturn,2019-02-21 00:00:00,None,0.0546686850263584
AggReturn,2019-02-21 00:00:00,2,0.0397202492830323
AggReturn,2019-02-21 00:00:00,4,0.0291655370433674
AggReturn,2019-02-21 00:00:00,8,0.0348473552251856
AggReturn,2019-02-22 00:00:00,None,0.0314395185231014
AggReturn,2019-02-22 00:00:00,2,-0.0015517670395555
AggReturn,2019-02-22 00:00:00,4,0.0003092677597203
AggReturn,2019-02-22 00:00:00,8,0.0213658153787679
AggReturn,2019-02-25 00:00:00,None,0.0231913589534887
AggReturn,2019-02-25 00:00:00,2,0.0249718538667875
AggReturn,2019-02-25 00:00:00,4,0.0203690591560509
AggReturn,2019-02-25 00:00:00,8,0.0202055077541818
AggReturn,2019-02-26 00:00:00,None,-0.0331565950249971
AggReturn,2019-02-26 00:00:00,2,-0.0425337706997885
AggReturn,2019-02-26 00:00:00,4,-0.0300652092401998
AggReturn,2019-02-26 00:00:00,8,-0.023942760260608
AggReturn,2019-02-27 00:00:00,None,0.0131693838541974
AggReturn,2019-02-27 00:00:00,2,0.0358954632299254
AggReturn,2019-02-27 00:00:00,4,0.0229150695962526
AggReturn,2019-02-27 00:00:00,8,0.012388753806779
AggReturn,2019-02-28 00:00:00,None,0.0161312686428178
AggReturn,2019-02-28 00:00:00,2,0.0214972215775785
AggReturn,2019-02-28 00:00:00,4,0.0175142892440142
AggReturn,2019-02-28 00:00:00,8,0.005808744957334
AggReturn,2019-03-01 00:00:00,None,0.0022771637662779
AggReturn,2019-03-01 00:00:00,2,-0.012267597916021
AggReturn,2019-03-01 00:00:00,4,-0.0091171958060926
AggReturn,2019-03-01 00:00:00,8,-0.0064366126447907
